sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description
S.2D.Y.F.49	1	bulkRNAseq of saline treated, 3 months old, female mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.Y.F.51	2	bulkRNAseq of saline treated, 3 months old, female mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.Y.F.52	3	bulkRNAseq of saline treated, 3 months old, female mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.Y.F.53	4	bulkRNAseq of saline treated, 3 months old, female mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.Y.F.55	5	bulkRNAseq of saline treated, 3 months old, female mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.Y.F.56	6	bulkRNAseq of saline treated, 3 months old, female mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.Y.F.57	7	bulkRNAseq of saline treated, 3 months old, female mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.Y.M.2	8	bulkRNAseq of saline treated, 3 months old, male mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.Y.M.3	9	bulkRNAseq of saline treated, 3 months old, male mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.Y.M.4	10	bulkRNAseq of saline treated, 3 months old, male mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.Y.M.5	11	bulkRNAseq of saline treated, 3 months old, male mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.Y.M.7	12	bulkRNAseq of saline treated, 3 months old, male mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.Y.M.8	13	bulkRNAseq of saline treated, 3 months old, male mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.Y.M.9	14	bulkRNAseq of saline treated, 3 months old, male mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.O.F.144	15	bulkRNAseq of saline treated, 6 months old, female mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.O.F.145	16	bulkRNAseq of saline treated, 6 months old, female mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.O.F.146	17	bulkRNAseq of saline treated, 6 months old, female mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.O.F.147	18	bulkRNAseq of saline treated, 6 months old, female mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.O.F.149	19	bulkRNAseq of saline treated, 6 months old, female mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.O.F.150	20	bulkRNAseq of saline treated, 6 months old, female mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.O.F.151	21	bulkRNAseq of saline treated, 6 months old, female mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.O.M.100	22	bulkRNAseq of saline treated, 6 months old, male mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.O.M.101	23	bulkRNAseq of saline treated, 6 months old, male mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
S.2D.O.M.102	24	bulkRNAseq of saline treated, 6 months old, male mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X	QIAGEN RNAeasy kit was used for RNA extraction
