sample_name	organism	breed	age	collection_date	geo_loc_name	sex	tissue	animal_id	treatment	timepoint_days
S.2D.Y.F.49	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	49	saline	2
S.2D.Y.F.51	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	51	saline	2
S.2D.Y.F.52	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	52	saline	2
S.2D.Y.F.53	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	53	saline	2
S.2D.Y.F.55	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	55	saline	2
S.2D.Y.F.56	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	56	saline	2
S.2D.Y.F.57	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	57	saline	2
S.2D.Y.M.2	Mus musculus	C57BL/6	3 months	2024-10-24	USA: Arizona	Male	brain	2	saline	2
S.2D.Y.M.3	Mus musculus	C57BL/6	3 months	2024-10-24	USA: Arizona	Male	brain	3	saline	2
S.2D.Y.M.4	Mus musculus	C57BL/6	3 months	2024-10-24	USA: Arizona	Male	brain	4	saline	2
S.2D.Y.M.5	Mus musculus	C57BL/6	3 months	2024-10-24	USA: Arizona	Male	brain	5	saline	2
S.2D.Y.M.7	Mus musculus	C57BL/6	3 months	2024-10-24	USA: Arizona	Male	brain	7	saline	2
S.2D.Y.M.8	Mus musculus	C57BL/6	3 months	2024-10-24	USA: Arizona	Male	brain	8	saline	2
S.2D.Y.M.9	Mus musculus	C57BL/6	3 months	2024-10-24	USA: Arizona	Male	brain	9	saline	2
S.2D.O.F.144	Mus musculus	C57BL/6	6 months	2024-10-23	USA: Arizona	Female	brain	144	saline	2
S.2D.O.F.145	Mus musculus	C57BL/6	6 months	2024-10-23	USA: Arizona	Female	brain	145	saline	2
S.2D.O.F.146	Mus musculus	C57BL/6	6 months	2024-10-23	USA: Arizona	Female	brain	146	saline	2
S.2D.O.F.147	Mus musculus	C57BL/6	6 months	2024-10-23	USA: Arizona	Female	brain	147	saline	2
S.2D.O.F.149	Mus musculus	C57BL/6	6 months	2024-10-23	USA: Arizona	Female	brain	149	saline	2
S.2D.O.F.150	Mus musculus	C57BL/6	6 months	2024-10-23	USA: Arizona	Female	brain	150	saline	2
S.2D.O.F.151	Mus musculus	C57BL/6	6 months	2024-10-23	USA: Arizona	Female	brain	151	saline	2
S.2D.O.M.100	Mus musculus	C57BL/6	6 months	2024-10-24	USA: Arizona	Male	brain	100	saline	2
S.2D.O.M.101	Mus musculus	C57BL/6	6 months	2024-10-24	USA: Arizona	Male	brain	101	saline	2
S.2D.O.M.102	Mus musculus	C57BL/6	6 months	2024-10-24	USA: Arizona	Male	brain	102	saline	2
S.2D.O.M.104	Mus musculus	C57BL/6	6 months	2024-10-24	USA: Arizona	Male	brain	104	saline	2
S.2D.O.M.105	Mus musculus	C57BL/6	6 months	2024-10-24	USA: Arizona	Male	brain	105	saline	2
S.2D.O.M.98	Mus musculus	C57BL/6	6 months	2024-10-24	USA: Arizona	Male	brain	98	saline	2
S.2D.O.M.99	Mus musculus	C57BL/6	6 months	2024-10-24	USA: Arizona	Male	brain	99	saline	2
S.21D.Y.F.62	Mus musculus	C57BL/6	3 months	2024-11-12	USA: Arizona	Female	brain	62	saline	21
S.21D.Y.F.63	Mus musculus	C57BL/6	3 months	2024-11-12	USA: Arizona	Female	brain	63	saline	21
S.21D.Y.F.64	Mus musculus	C57BL/6	3 months	2024-11-12	USA: Arizona	Female	brain	64	saline	21
S.21D.Y.F.65	Mus musculus	C57BL/6	3 months	2024-11-12	USA: Arizona	Female	brain	65	saline	21
S.21D.Y.F.67	Mus musculus	C57BL/6	3 months	2024-11-12	USA: Arizona	Female	brain	67	saline	21
S.21D.Y.F.68	Mus musculus	C57BL/6	3 months	2024-11-12	USA: Arizona	Female	brain	68	saline	21
S.21D.Y.F.69	Mus musculus	C57BL/6	3 months	2024-11-12	USA: Arizona	Female	brain	69	saline	21
S.21D.Y.M.14	Mus musculus	C57BL/6	3 months	2024-11-13	USA: Arizona	Male	brain	14	saline	21
S.21D.Y.M.16	Mus musculus	C57BL/6	3 months	2024-11-13	USA: Arizona	Male	brain	16	saline	21
S.21D.Y.M.17	Mus musculus	C57BL/6	3 months	2024-11-13	USA: Arizona	Male	brain	17	saline	21
S.21D.Y.M.19	Mus musculus	C57BL/6	3 months	2024-11-13	USA: Arizona	Male	brain	19	saline	21
S.21D.Y.M.20	Mus musculus	C57BL/6	3 months	2024-11-13	USA: Arizona	Male	brain	20	saline	21
S.21D.Y.M.21	Mus musculus	C57BL/6	3 months	2024-11-13	USA: Arizona	Male	brain	21	saline	21
S.21D.Y.M.22	Mus musculus	C57BL/6	3 months	2024-11-13	USA: Arizona	Male	brain	22	saline	21
S.21D.O.F.156	Mus musculus	C57BL/6	6 months	2024-11-12	USA: Arizona	Female	brain	156	saline	21
S.21D.O.F.157	Mus musculus	C57BL/6	6 months	2024-11-12	USA: Arizona	Female	brain	157	saline	21
S.21D.O.F.158	Mus musculus	C57BL/6	6 months	2024-11-12	USA: Arizona	Female	brain	158	saline	21
S.21D.O.F.159	Mus musculus	C57BL/6	6 months	2024-11-12	USA: Arizona	Female	brain	159	saline	21
S.21D.O.F.161	Mus musculus	C57BL/6	6 months	2024-11-12	USA: Arizona	Female	brain	161	saline	21
S.21D.O.F.162	Mus musculus	C57BL/6	6 months	2024-11-12	USA: Arizona	Female	brain	162	saline	21
S.21D.O.F.163	Mus musculus	C57BL/6	6 months	2024-11-12	USA: Arizona	Female	brain	163	saline	21
S.21D.O.M.109	Mus musculus	C57BL/6	6 months	2024-11-13	USA: Arizona	Male	brain	109	saline	21
S.21D.O.M.111	Mus musculus	C57BL/6	6 months	2024-11-13	USA: Arizona	Male	brain	111	saline	21
S.21D.O.M.112	Mus musculus	C57BL/6	6 months	2024-11-13	USA: Arizona	Male	brain	112	saline	21
S.21D.O.M.115	Mus musculus	C57BL/6	6 months	2024-11-13	USA: Arizona	Male	brain	115	saline	21
S.21D.O.M.117	Mus musculus	C57BL/6	6 months	2024-11-13	USA: Arizona	Male	brain	117	saline	21
S.21D.O.M.118	Mus musculus	C57BL/6	6 months	2024-11-13	USA: Arizona	Male	brain	118	saline	21
E.2D.Y.F.74	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	74	ecoli	2
E.2D.Y.F.75	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	75	ecoli	2
E.2D.Y.F.76	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	76	ecoli	2
E.2D.Y.F.77	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	77	ecoli	2
E.2D.Y.F.79	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	79	ecoli	2
E.2D.Y.F.80	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	80	ecoli	2
E.2D.Y.F.81	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	81	ecoli	2
