gene_name	category
S100a8	immune
Lcn2	immune
S100a9	immune
Pglyrp1	immune
C1qa	immune
C1qb	immune
C1qc	immune
Ctla2a	immune
Adgre1	immune
Trem2	immune
Ifi30	immune
Ccl28	immune
Fcgr1	immune
Gbp2	immune
Mki67	proliferation
Top2a	proliferation
Aunip	proliferation
Vwf	vascular
Edn1	vascular
Lrg1	vascular
Clec14a	vascular
Podxl	vascular
Adgrl4	vascular
Pi16	vascular
Fermt1	vascular
Mfap4	vascular
Aqp1	vascular
Hif3a	neuronal_stress
Sgk1	neuronal_stress
Draxin	neuronal_stress
Chrna6	neuronal_stress
Frmpd2	neuronal_stress
Rassf6	neuronal_stress
Cdkn1a	neuronal_stress
Hspb1	neuronal_stress
