sample	group	group2	treatment	timepoint_days	age	sex	animal_id	collection_date	species	specimen_source	specimen_type	specimen_fraction	isolation_method	filename
1	S2DYF49	S2DY	S2DYF	saline	2	young	Female	49	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_49_fs_t1
2	S2DYF51	S2DY	S2DYF	saline	2	young	Female	51	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_51_fs_t1
3	S2DYF52	S2DY	S2DYF	saline	2	young	Female	52	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_52_fs_t1
4	S2DYF53	S2DY	S2DYF	saline	2	young	Female	53	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_53_fs_t1
5	S2DYF55	S2DY	S2DYF	saline	2	young	Female	55	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_55_fs_t1
6	S2DYF56	S2DY	S2DYF	saline	2	young	Female	56	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_56_fs_t1
7	S2DYF57	S2DY	S2DYF	saline	2	young	Female	57	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_57_fs_t1
8	S2DYM2	S2DY	S2DYM	saline	2	young	Male	2	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_2_ms_t1
9	S2DYM3	S2DY	S2DYM	saline	2	young	Male	3	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_3_ms_t1
10	S2DYM4	S2DY	S2DYM	saline	2	young	Male	4	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_4_ms_t1
11	S2DYM5	S2DY	S2DYM	saline	2	young	Male	5	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_5_ms_t1
12	S2DYM7	S2DY	S2DYM	saline	2	young	Male	7	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_7_ms_t1
13	S2DYM8	S2DY	S2DYM	saline	2	young	Male	8	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_8_ms_t1
14	S2DYM9	S2DY	S2DYM	saline	2	young	Male	9	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_9_ms_t1
15	S2DOF144	S2DO	S2DOF	saline	2	old	Female	144	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_144_fs_t1
16	S2DOF145	S2DO	S2DOF	saline	2	old	Female	145	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_145_fs_t1
17	S2DOF146	S2DO	S2DOF	saline	2	old	Female	146	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_146_fs_t1
18	S2DOF147	S2DO	S2DOF	saline	2	old	Female	147	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_147_fs_t1
19	S2DOF149	S2DO	S2DOF	saline	2	old	Female	149	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_149_fs_t1
20	S2DOF150	S2DO	S2DOF	saline	2	old	Female	150	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_150_fs_t1
21	S2DOF151	S2DO	S2DOF	saline	2	old	Female	151	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_151_fs_t1
22	S2DOM100	S2DO	S2DOM	saline	2	old	Male	100	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_100_ms_t1
23	S2DOM101	S2DO	S2DOM	saline	2	old	Male	101	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_101_ms_t1
24	S2DOM102	S2DO	S2DOM	saline	2	old	Male	102	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_102_ms_t1
25	S2DOM104	S2DO	S2DOM	saline	2	old	Male	104	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_104_ms_t1
26	S2DOM105	S2DO	S2DOM	saline	2	old	Male	105	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_105_ms_t1
27	S2DOM98	S2DO	S2DOM	saline	2	old	Male	98	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_98_ms_t1
28	S2DOM99	S2DO	S2DOM	saline	2	old	Male	99	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_99_ms_t1
29	S18DYF62	S18DY	S18DYF	saline	18	young	Female	62	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_62_fs_t2
30	S18DYF63	S18DY	S18DYF	saline	18	young	Female	63	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_63_fs_t2
31	S18DYF64	S18DY	S18DYF	saline	18	young	Female	64	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_64_fs_t2
32	S18DYF65	S18DY	S18DYF	saline	18	young	Female	65	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_65_fs_t2
33	S18DYF67	S18DY	S18DYF	saline	18	young	Female	67	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_67_fs_t2
34	S18DYF68	S18DY	S18DYF	saline	18	young	Female	68	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_68_fs_t2
35	S18DYF69	S18DY	S18DYF	saline	18	young	Female	69	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_69_fs_t2
36	S18DYM14	S18DY	S18DYM	saline	18	young	Male	14	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_14_ms_t2
37	S18DYM16	S18DY	S18DYM	saline	18	young	Male	16	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_16_ms_t2
38	S18DYM17	S18DY	S18DYM	saline	18	young	Male	17	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_17_ms_t2
39	S18DYM19	S18DY	S18DYM	saline	18	young	Male	19	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_19_ms_t2
40	S18DYM20	S18DY	S18DYM	saline	18	young	Male	20	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_20_ms_t2
41	S18DYM21	S18DY	S18DYM	saline	18	young	Male	21	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_21_ms_t2
42	S18DYM22	S18DY	S18DYM	saline	18	young	Male	22	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_22_ms_t2
43	S18DOF156	S18DO	S18DOF	saline	18	old	Female	156	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_156_fs_t2
44	S18DOF157	S18DO	S18DOF	saline	18	old	Female	157	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_157_fs_t2
45	S18DOF158	S18DO	S18DOF	saline	18	old	Female	158	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_158_fs_t2
46	S18DOF159	S18DO	S18DOF	saline	18	old	Female	159	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_159_fs_t2
47	S18DOF161	S18DO	S18DOF	saline	18	old	Female	161	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_161_fs_t2
48	S18DOF163	S18DO	S18DOF	saline	18	old	Female	163	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_163_fs_t2
49	S18DOM109	S18DO	S18DOM	saline	18	old	Male	109	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_109_ms_t2
50	S18DOM111	S18DO	S18DOM	saline	18	old	Male	111	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_111_ms_t2
51	S18DOM112	S18DO	S18DOM	saline	18	old	Male	112	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_112_ms_t2
52	S18DOM114	S18DO	S18DOM	saline	18	old	Male	114	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_114_ms_t2
53	S18DOM115	S18DO	S18DOM	saline	18	old	Male	115	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_115_ms_t2
