sample_name	organism	breed	age	collection_date	geo_loc_name	sex	tissue	animal_id	treatment	timepoint_days
S.2D.Y.F.50	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	50	saline	2
S.2D.Y.F.54	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	54	saline	2
S.2D.Y.F.59	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	59	saline	2
S.2D.Y.M.1	Mus musculus	C57BL/6	3 months	2024-10-24	USA: Arizona	Male	brain	1	saline	2
S.2D.Y.M.11	Mus musculus	C57BL/6	3 months	2024-10-24	USA: Arizona	Male	brain	11	saline	2
S.2D.Y.M.6	Mus musculus	C57BL/6	3 months	2024-10-24	USA: Arizona	Male	brain	6	saline	2
S.2D.O.F.143	Mus musculus	C57BL/6	6 months	2024-10-23	USA: Arizona	Female	brain	143	saline	2
S.2D.O.F.148	Mus musculus	C57BL/6	6 months	2024-10-23	USA: Arizona	Female	brain	148	saline	2
S.2D.O.F.153	Mus musculus	C57BL/6	6 months	2024-10-23	USA: Arizona	Female	brain	153	saline	2
S.2D.O.M.103	Mus musculus	C57BL/6	6 months	2024-10-24	USA: Arizona	Male	brain	103	saline	2
S.2D.O.M.107	Mus musculus	C57BL/6	6 months	2024-10-24	USA: Arizona	Male	brain	107	saline	2
S.2D.O.M.97	Mus musculus	C57BL/6	6 months	2024-10-24	USA: Arizona	Male	brain	97	saline	2
S.21D.Y.F.61	Mus musculus	C57BL/6	3 months	2024-11-12	USA: Arizona	Female	brain	61	saline	21
S.21D.Y.F.66	Mus musculus	C57BL/6	3 months	2024-11-12	USA: Arizona	Female	brain	66	saline	21
S.21D.Y.F.71	Mus musculus	C57BL/6	3 months	2024-11-12	USA: Arizona	Female	brain	71	saline	21
S.21D.Y.M.13	Mus musculus	C57BL/6	3 months	2024-11-13	USA: Arizona	Male	brain	13	saline	21
S.21D.Y.M.18	Mus musculus	C57BL/6	3 months	2024-11-13	USA: Arizona	Male	brain	18	saline	21
