gene_name	category
Ecscr	angiogenesis
Clec14a	angiogenesis
Vwf	angiogenesis
Pkn3	angiogenesis
Pdgfb	vascular_remodeling
Fn1	vascular_remodeling
Cdh13	vascular_remodeling
Ecm1	vascular_remodeling
Ecm2	vascular_remodeling
Wnt5a	vascular_remodeling
Igfbp7	stress_hypoxia
Pla2g4a	stress_hypoxia
Hif1a	stress_hypoxia
Ldha	stress_hypoxia
Ankrd37	stress_hypoxia
Ier3	stress_hypoxia
Cav1	barrier_remodeling
Slc16a1	barrier_remodeling
Flot1	barrier_remodeling
Cavin3	barrier_remodeling
Ehd2	barrier_remodeling
Rab13	barrier_remodeling
Nostrin	barrier_remodeling
S100a10	cytoskeleton_adhesion
Vim	cytoskeleton_adhesion
Tspan4	cytoskeleton_adhesion
Fxyd5	cytoskeleton_adhesion
Capg	cytoskeleton_adhesion
Dstn	cytoskeleton_adhesion
H2-D1	immune_interfacing
H2-K1	immune_interfacing
B2m	immune_interfacing
H2-Q7	immune_interfacing
Psmb8	immune_interfacing
Cd200	immune_interfacing
Hey1	vascular_homeostasis
Notch4	vascular_homeostasis
Unc5b	vascular_homeostasis
Rasgrp2	vascular_homeostasis
Rap1a	vascular_homeostasis
Mgp	ecm_remodeling
H2-Q4	immune_interface
Bcr	immune_interface
Camk1d	stress_signaling



