dims,min_dist,n_neighbors
8,0.2,30
9,0.2,30
10,0.2,30
11,0.2,30
12,0.2,30
13,0.2,30
14,0.2,30
15,0.2,30
16,0.2,30
17,0.2,30
18,0.2,30
19,0.2,30
20,0.2,30
21,0.2,30
22,0.2,30
23,0.2,30
24,0.2,30
25,0.2,30
26,0.2,30
27,0.2,30
28,0.2,30
29,0.2,30
30,0.2,30
8,0.3,30
9,0.3,30
10,0.3,30
11,0.3,30
12,0.3,30
13,0.3,30
14,0.3,30
15,0.3,30
16,0.3,30
17,0.3,30
18,0.3,30
19,0.3,30
20,0.3,30
21,0.3,30
22,0.3,30
23,0.3,30
24,0.3,30
25,0.3,30
26,0.3,30
27,0.3,30
28,0.3,30
29,0.3,30
30,0.3,30
8,0.2,40
9,0.2,40
10,0.2,40
11,0.2,40
12,0.2,40
13,0.2,40
14,0.2,40
15,0.2,40
16,0.2,40
17,0.2,40
18,0.2,40
19,0.2,40
20,0.2,40
21,0.2,40
22,0.2,40
23,0.2,40
24,0.2,40
25,0.2,40
26,0.2,40
27,0.2,40
28,0.2,40
29,0.2,40
30,0.2,40
8,0.3,40
9,0.3,40
10,0.3,40
11,0.3,40
12,0.3,40
13,0.3,40
14,0.3,40
15,0.3,40
16,0.3,40
17,0.3,40
18,0.3,40
19,0.3,40
20,0.3,40
21,0.3,40
22,0.3,40
23,0.3,40
24,0.3,40
25,0.3,40
26,0.3,40
27,0.3,40
28,0.3,40
29,0.3,40
30,0.3,40
8,0.2,50
9,0.2,50
10,0.2,50
11,0.2,50
12,0.2,50
13,0.2,50
14,0.2,50
15,0.2,50
16,0.2,50
17,0.2,50
18,0.2,50
19,0.2,50
20,0.2,50
21,0.2,50
22,0.2,50
23,0.2,50
24,0.2,50
25,0.2,50
26,0.2,50
27,0.2,50
28,0.2,50
29,0.2,50
30,0.2,50
8,0.3,50
9,0.3,50
10,0.3,50
11,0.3,50
12,0.3,50
13,0.3,50
14,0.3,50
15,0.3,50
16,0.3,50
17,0.3,50
18,0.3,50
19,0.3,50
20,0.3,50
21,0.3,50
22,0.3,50
23,0.3,50
24,0.3,50
25,0.3,50
26,0.3,50
27,0.3,50
28,0.3,50
29,0.3,50
30,0.3,50
8,0.2,60
9,0.2,60
10,0.2,60
11,0.2,60
12,0.2,60
13,0.2,60
14,0.2,60
15,0.2,60
16,0.2,60
17,0.2,60
18,0.2,60
19,0.2,60
20,0.2,60
21,0.2,60
22,0.2,60
23,0.2,60
24,0.2,60
25,0.2,60
26,0.2,60
27,0.2,60
28,0.2,60
29,0.2,60
30,0.2,60
8,0.3,60
9,0.3,60
10,0.3,60
11,0.3,60
12,0.3,60
13,0.3,60
14,0.3,60
15,0.3,60
16,0.3,60
17,0.3,60
18,0.3,60
19,0.3,60
20,0.3,60
21,0.3,60
22,0.3,60
23,0.3,60
24,0.3,60
25,0.3,60
26,0.3,60
27,0.3,60
28,0.3,60
29,0.3,60
30,0.3,60
8,0.2,70
9,0.2,70
10,0.2,70
11,0.2,70
12,0.2,70
13,0.2,70
14,0.2,70
15,0.2,70
16,0.2,70
17,0.2,70
18,0.2,70
19,0.2,70
20,0.2,70
21,0.2,70
22,0.2,70
23,0.2,70
24,0.2,70
25,0.2,70
26,0.2,70
27,0.2,70
28,0.2,70
29,0.2,70
30,0.2,70
8,0.3,70
9,0.3,70
10,0.3,70
11,0.3,70
12,0.3,70
13,0.3,70
14,0.3,70
15,0.3,70
16,0.3,70
17,0.3,70
18,0.3,70
19,0.3,70
20,0.3,70
21,0.3,70
22,0.3,70
23,0.3,70
24,0.3,70
25,0.3,70
26,0.3,70
27,0.3,70
28,0.3,70
29,0.3,70
30,0.3,70
